month,avg_high_F,avg_high_C,daily_mean_F,daily_mean_C,avg_low_F,avg_low_C,rain_inches,rain_mm
Jan,67.2,19.6,56.4,13.6,45.6,7.6,0.91,23
Feb,70.7,21.5,59.7,15.4,48.7,9.3,0.92,23
Mar,76.9,24.9,65.2,18.6,53.5,11.9,0.99,25
Apr,85.2,29.6,72.7,22.6,60.2,15.7,0.28,7.1
May,94.8,34.9,82.1,27.8,69.4,20.8,0.11,2.8
Jun,103.9,39.9,90.8,32.7,77.7,25.4,0.02,0.51
Jul,106.1,41.2,94.8,34.9,83.5,28.6,1.05,27
Aug,104.4,40.2,93.6,34.2,82.7,28.2,1,25
Sep,99.8,37.7,88.4,31.3,76.9,24.9,0.64,16
Oct,88.5,31.4,76.7,24.8,64.8,18.2,0.58,15
Nov,75.5,24.2,64.1,17.8,52.7,11.5,0.65,17
Dec,66,18.9,55.4,13,44.8,7.1,0.88,22
